DigitalOrderItemId,DeliveryPacketId,AffectedItemQuantity,TransactionAmount,BaseCurrencyCode,ClaimCode,FXTransactionAmount,FXCurrencyCode,MonetaryComponentTypeCode,OfferTypeCode
89ELIUOGU02CET10LJ4OO59NV7HKHNC3VC7DFO8KRKRNDB2IP22G,2G96I8PB70PQV938LF33KA0V88JHJUALPM380N5EAMOJCDPQ98D0,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
O09VSK8K225VGST5POVM5OFNDBB1D1GCVIQ3PBNKUBEGJTJRCKU0,P317S1UM7MCK8C8OKANBUEJLU023QQSN09O7HM0MTHTTPO5FA3L0,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Promotion
O09VSK8K225VGST5POVM5OFNDBB1D1GCVIQ3PBNKUBEGJTJRCKU0,P317S1UM7MCK8C8OKANBUEJLU023QQSN09O7HM0MTHTTPO5FA3L0,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
O09VSK8K225VGST5POVM5OFNDBB1D1GCVIQ3PBNKUBEGJTJRCKU0,P317S1UM7MCK8C8OKANBUEJLU023QQSN09O7HM0MTHTTPO5FA3L0,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
6TU6UIIC31135FVH114NFQ18I59N88RO626BAS33618QCP61BABG,7CUG8953KI9QMMRDVPHIKMHF5E732KL0FPU4OG3L1GCEF21THROG,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
6TU6UIIC31135FVH114NFQ18I59N88RO626BAS33618QCP61BABG,7CUG8953KI9QMMRDVPHIKMHF5E732KL0FPU4OG3L1GCEF21THROG,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
6TU6UIIC31135FVH114NFQ18I59N88RO626BAS33618QCP61BABG,7CUG8953KI9QMMRDVPHIKMHF5E732KL0FPU4OG3L1GCEF21THROG,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Promotion
GOQ3I6I2U4G6ET9VUEJEGPGCOQMRD739T4B231APTJBB55FN4290,J4GA4VJ8E932H2IO6HAU6UAG7S42LGIO44VA90NUFPB83HE5MFGG,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
GOQ3I6I2U4G6ET9VUEJEGPGCOQMRD739T4B231APTJBB55FN4290,J4GA4VJ8E932H2IO6HAU6UAG7S42LGIO44VA90NUFPB83HE5MFGG,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
GOQ3I6I2U4G6ET9VUEJEGPGCOQMRD739T4B231APTJBB55FN4290,J4GA4VJ8E932H2IO6HAU6UAG7S42LGIO44VA90NUFPB83HE5MFGG,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Promotion
5FAPQ5KQBV8LQ2CGDABDOA744OMG9S2G463MS8UQO84QJRJ2PJO0,J4GA4VJ8E932H2IO6HAU6UAG7S42LGIO44VA90NUFPB83HE5MFGG,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
5FAPQ5KQBV8LQ2CGDABDOA744OMG9S2G463MS8UQO84QJRJ2PJO0,J4GA4VJ8E932H2IO6HAU6UAG7S42LGIO44VA90NUFPB83HE5MFGG,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Promotion
5FAPQ5KQBV8LQ2CGDABDOA744OMG9S2G463MS8UQO84QJRJ2PJO0,J4GA4VJ8E932H2IO6HAU6UAG7S42LGIO44VA90NUFPB83HE5MFGG,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
7BJ403N0C6EQH14V20339PK74R8G0B2OU3EB19B1DS0U7T0NK6H0,J4GA4VJ8E932H2IO6HAU6UAG7S42LGIO44VA90NUFPB83HE5MFGG,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
7BJ403N0C6EQH14V20339PK74R8G0B2OU3EB19B1DS0U7T0NK6H0,J4GA4VJ8E932H2IO6HAU6UAG7S42LGIO44VA90NUFPB83HE5MFGG,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
7BJ403N0C6EQH14V20339PK74R8G0B2OU3EB19B1DS0U7T0NK6H0,J4GA4VJ8E932H2IO6HAU6UAG7S42LGIO44VA90NUFPB83HE5MFGG,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Promotion
6811540H1G997PNVGH65DB4ALIQQBAUA1VGAHGR1RLTG318F00F0,J4GA4VJ8E932H2IO6HAU6UAG7S42LGIO44VA90NUFPB83HE5MFGG,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Promotion
6811540H1G997PNVGH65DB4ALIQQBAUA1VGAHGR1RLTG318F00F0,J4GA4VJ8E932H2IO6HAU6UAG7S42LGIO44VA90NUFPB83HE5MFGG,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
6811540H1G997PNVGH65DB4ALIQQBAUA1VGAHGR1RLTG318F00F0,J4GA4VJ8E932H2IO6HAU6UAG7S42LGIO44VA90NUFPB83HE5MFGG,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
K70VIFAI6HAMD35Q8KKJ28AC8GD4KCRF0R9B93GIAI0PBP0T8LTG,J4GA4VJ8E932H2IO6HAU6UAG7S42LGIO44VA90NUFPB83HE5MFGG,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
K70VIFAI6HAMD35Q8KKJ28AC8GD4KCRF0R9B93GIAI0PBP0T8LTG,J4GA4VJ8E932H2IO6HAU6UAG7S42LGIO44VA90NUFPB83HE5MFGG,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
K70VIFAI6HAMD35Q8KKJ28AC8GD4KCRF0R9B93GIAI0PBP0T8LTG,J4GA4VJ8E932H2IO6HAU6UAG7S42LGIO44VA90NUFPB83HE5MFGG,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Promotion
DCOF3F8VMK1B9DN7JI2OJFGL9Q90C7RDSJQCPOT2H5QKGP5ODOO0,J4GA4VJ8E932H2IO6HAU6UAG7S42LGIO44VA90NUFPB83HE5MFGG,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Promotion
DCOF3F8VMK1B9DN7JI2OJFGL9Q90C7RDSJQCPOT2H5QKGP5ODOO0,J4GA4VJ8E932H2IO6HAU6UAG7S42LGIO44VA90NUFPB83HE5MFGG,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
DCOF3F8VMK1B9DN7JI2OJFGL9Q90C7RDSJQCPOT2H5QKGP5ODOO0,J4GA4VJ8E932H2IO6HAU6UAG7S42LGIO44VA90NUFPB83HE5MFGG,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
SR3H88ASMQ1MKHTLIFGP3ONAE0B6FF7933ADOG907443UNLE01E0,J4GA4VJ8E932H2IO6HAU6UAG7S42LGIO44VA90NUFPB83HE5MFGG,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Promotion
SR3H88ASMQ1MKHTLIFGP3ONAE0B6FF7933ADOG907443UNLE01E0,J4GA4VJ8E932H2IO6HAU6UAG7S42LGIO44VA90NUFPB83HE5MFGG,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
SR3H88ASMQ1MKHTLIFGP3ONAE0B6FF7933ADOG907443UNLE01E0,J4GA4VJ8E932H2IO6HAU6UAG7S42LGIO44VA90NUFPB83HE5MFGG,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
J2ML9EL0TOD2C3V6A4M4D5NP1QFR3HT9BM86JLV9T4CNEHIH5AOG,J4GA4VJ8E932H2IO6HAU6UAG7S42LGIO44VA90NUFPB83HE5MFGG,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Promotion
J2ML9EL0TOD2C3V6A4M4D5NP1QFR3HT9BM86JLV9T4CNEHIH5AOG,J4GA4VJ8E932H2IO6HAU6UAG7S42LGIO44VA90NUFPB83HE5MFGG,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
J2ML9EL0TOD2C3V6A4M4D5NP1QFR3HT9BM86JLV9T4CNEHIH5AOG,J4GA4VJ8E932H2IO6HAU6UAG7S42LGIO44VA90NUFPB83HE5MFGG,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
VG8VC2D9V0EB550HOVBA065021PT9DJNDFG8EPKR9IQHOPQIG710,MQULITMKLV1A5LQ888KFAJRLC6F6CAPIRM1FDGJ479S6IBM9TIF0,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
VG8VC2D9V0EB550HOVBA065021PT9DJNDFG8EPKR9IQHOPQIG710,MQULITMKLV1A5LQ888KFAJRLC6F6CAPIRM1FDGJ479S6IBM9TIF0,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
MJQKNP3B8A874E61H6CAP2AHNEEQHAQMTAM8FRE4E92PO45N66SG,162D2FUKVP140MEJT2O2243G8CJV78DP09IMNUVK3K8N2VQ3IACG,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
MJQKNP3B8A874E61H6CAP2AHNEEQHAQMTAM8FRE4E92PO45N66SG,162D2FUKVP140MEJT2O2243G8CJV78DP09IMNUVK3K8N2VQ3IACG,1,169.0,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
7177534AUEP13UGHUA60UA3M5R95II70Q7OTAHGDJFUFC9C2F9D0,J4BD2HVSP6UN8ABCQCJTQ0GCP8NN0DMRIE701G08PT12GCS2Q6EG,1,2.0,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
7177534AUEP13UGHUA60UA3M5R95II70Q7OTAHGDJFUFC9C2F9D0,J4BD2HVSP6UN8ABCQCJTQ0GCP8NN0DMRIE701G08PT12GCS2Q6EG,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Promotion
7177534AUEP13UGHUA60UA3M5R95II70Q7OTAHGDJFUFC9C2F9D0,J4BD2HVSP6UN8ABCQCJTQ0GCP8NN0DMRIE701G08PT12GCS2Q6EG,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
4R4M0NM5DDOHVNFAAS1UF4HO0L2R3J82EBVKB8BGPL778SD9JV00,2E8E7GIEQ0BEDPU500OONGVQUIBIP65RVAAQ4TJDFOJAQTLUKBNG,1,2.29,INR,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
4R4M0NM5DDOHVNFAAS1UF4HO0L2R3J82EBVKB8BGPL778SD9JV00,2E8E7GIEQ0BEDPU500OONGVQUIBIP65RVAAQ4TJDFOJAQTLUKBNG,1,12.71,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
GAFC9LUH5UCGVMLB3CE0KER7GNLSC91KC4QCPP5POLD708QP8MQG,LOQTQRJLFV4KCKPHJ20SNEGOE2V87VUT5KIK7DBE5EM1T70HVT4G,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
GAFC9LUH5UCGVMLB3CE0KER7GNLSC91KC4QCPP5POLD708QP8MQG,LOQTQRJLFV4KCKPHJ20SNEGOE2V87VUT5KIK7DBE5EM1T70HVT4G,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
HVHV44UM161CTVPB7QPQCVT9NALV880HIOR4M1DK1NLHDA4DRCOG,DGK50TO3GURDBOFT9D8UQCAJCOQEVRI4D4PLO6QN7RFD05680VAG,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
HVHV44UM161CTVPB7QPQCVT9NALV880HIOR4M1DK1NLHDA4DRCOG,DGK50TO3GURDBOFT9D8UQCAJCOQEVRI4D4PLO6QN7RFD05680VAG,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
0LNMHMF2OBC36A3NKEVSLV8PGML4ASO5P0QDK68BKLGDHT0ADL0G,82G6JGMJSA4JCS0GMGVUT265HEKAVH6GF274DUHPB2B611RPQCC0,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
0LNMHMF2OBC36A3NKEVSLV8PGML4ASO5P0QDK68BKLGDHT0ADL0G,82G6JGMJSA4JCS0GMGVUT265HEKAVH6GF274DUHPB2B611RPQCC0,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
D7VMN8BM0OHP5V98JL33NF5FRGADN75I3EF81GTRS8DT630H6JD0,EU2VDPT87A6EB87HARJVR4NIV8ARP57720HA8ODIEKUOC4124HQ0,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
D7VMN8BM0OHP5V98JL33NF5FRGADN75I3EF81GTRS8DT630H6JD0,EU2VDPT87A6EB87HARJVR4NIV8ARP57720HA8ODIEKUOC4124HQ0,1,0.0,INR,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
